Month,Advances,Declines,Advance/Decline Ratio
Mar-2022,1042,1088,0.96
Feb-2022,921,1208,0.76
Jan-2022,1064,1069,0.99
Dec-2021,1125,964,1.17
Nov-2021,982,1069,0.92
Oct-2021,958,1091,0.88
Sep-2021,989,1022,0.97
Aug-2021,911,1097,0.83
Jul-2021,996,996,1.00
Jun-2021,1021,976,1.05
May-2021,1082,879,1.23
Apr-2021,1031,899,1.15
Mar-2021,881,1072,0.82
Feb-2021,978,950,1.03
Jan-2021,886,1068,0.83
Dec-2020,1080,866,1.25
Nov-2020,1057,816,1.30
Oct-2020,878,1001,0.88
Sep-2020,867,1008,0.86
Aug-2020,1494,852,1.75
Jul-2020,879,1010,0.87
Jun-2020,1102,781,1.41
May-2020,848,950,0.89
Apr-2020,1096,748,1.46
Mar-2020,697,1181,0.59
Feb-2020,742,1098,0.68
Jan-2020,924,913,1.01
Dec-2019,867,968,0.90
Nov-2019,864,979,0.88
Oct-2019,892,933,0.96
Sep-2019,919,916,1.00
Aug-2019,854,972,0.88
Jul-2019,716,1099,0.65
Jun-2019,759,1066,0.71
May-2019,828,983,0.84
Apr-2019,803,1006,0.80
Mar-2019,961,879,1.09
Feb-2019,824,979,0.84
Jan-2019,737,1039,0.71
Dec-2018,872,924,0.94
Nov-2018,869,918,0.95
Oct-2018,853,977,0.87
Sep-2018,661,1179,0.56
Aug-2018,884,924,0.96
Jul-2018,884,912,0.97
Jun-2018,734,1066,0.69
May-2018,733,1066,0.69
Apr-2018,941,860,1.09
Mar-2018,701,1102,0.64
Feb-2018,788,1011,0.78
Jan-2018,761,1017,0.75
Dec-2017,893,871,1.02
Nov-2017,840,901,0.93
Oct-2017,907,808,1.12
Sep-2017,794,898,0.88
Aug-2017,770,921,0.84
Jul-2017,834,851,0.98
Jun-2017,780,894,0.87
May-2017,735,935,0.79
Apr-2017,866,820,1.06
Mar-2017,793,863,0.92
Feb-2017,820,828,0.99
Jan-2017,860,767,1.12
Dec-2016,729,877,0.83
Nov-2016,734,899,0.82
Oct-2016,876,757,1.16
Sep-2016,803,816,0.98
Aug-2016,746,856,0.87
Jul-2016,798,810,0.99
Jun-2016,814,749,1.09
May-2016,715,835,0.86
Apr-2016,815,738,1.00
Mar-2016,840,718,1.17
Feb-2016,598,953,0.63
Jan-2016,698,877,0.80
Dec-2015,773,771,1.00
Nov-2015,760,753,1.01
Oct-2015,759,754,1.01
Sep-2015,741,764,0.97
Aug-2015,686,833,0.82
Jul-2015,803,703,1.14
Jun-2015,690,796,0.87
May-2015,732,759,0.97
Apr-2015,728,788,0.92
Mar-2015,627,881,0.71
Feb-2015,683,813,0.84
Jan-2015,748,786,0.95
Dec-2014,706,822,0.86
Nov-2014,736,808,0.91
Oct-2014,770,759,1.01
Sep-2014,778,782,1.00
Aug-2014,752,790,0.95
Jul-2014,730,816,0.90
Jun-2014,876,685,1.28
May-2014,851,681,1.25
Apr-2014,783,712,1.10
Mar-2014,772,689,1.12
Feb-2014,680,735,0.93
Jan-2014,621,792,0.78
Dec-2013,686,668,1.03
Nov-2013,672,672,1.00
Oct-2013,706,627,1.13
Sep-2013,677,641,1.06
Aug-2013,602,703,0.86
Jul-2013,572,747,0.77
Jun-2013,572,786,0.73
May-2013,619,759,0.82
Apr-2013,713,678,1.05
Mar-2013,625,875,0.71
Feb-2013,576,926,0.62
Jan-2013,663,849,0.78
Dec-2012,723,790,0.91
Nov-2012,730,773,0.94
Oct-2012,691,818,0.84
Sep-2012,814,664,1.23
Aug-2012,671,805,0.83
Jul-2012,667,816,0.82
Jun-2012,753,703,1.07
May-2012,616,843,0.73
Apr-2012,706,762,0.93
Mar-2012,639,849,0.75
Feb-2012,781,719,1.09
Jan-2012,870,605,1.44
Dec-2011,560,909,0.62
Nov-2011,581,895,0.65
Oct-2011,738,719,1.03
Sep-2011,693,774,0.89
Aug-2011,580,889,0.65
Jul-2011,689,756,0.91
Jun-2011,648,1131,0.57
May-2011,610,819,0.74
Apr-2011,729,720,1.01
Mar-2011,715,739,0.97
Feb-2011,611,820,0.74
Jan-2011,526,901,0.58
Dec-2010,727,695,1.05
Nov-2010,604,823,0.73
Oct-2010,642,765,0.84
Sep-2010,693,697,1.00
Aug-2010,624,755,0.83
Jul-2010,645,710,0.91
Jun-2010,693,648,1.07
May-2010,559,779,0.72
Apr-2010,698,640,1.09
Mar-2010,646,680,0.95
Feb-2010,591,715,0.83
Jan-2010,598,725,0.83
Dec-2009,673,614,1.10
Nov-2009,671,607,1.10
Oct-2009,518,751,0.69
Sep-2009,632,630,1.00
Aug-2009,667,582,1.15
Jul-2009,650,588,1.11
Jun-2009,576,675,0.85
May-2009,775,431,1.80
Apr-2009,732,495,1.48
Mar-2009,604,588,1.03
Feb-2009,502,676,0.74
Jan-2009,533,663,0.80
Dec-2008,656,541,1.21
Nov-2008,483,726,0.66
Oct-2008,436,795,0.55
Sep-2008,435,790,0.55
Aug-2008,572,644,0.89
Jul-2008,607,605,1.00
Jun-2008,440,769,0.57
May-2008,495,708,0.70
Apr-2008,675,525,1.29
Mar-2008,467,737,0.63
Feb-2008,550,639,0.86
Jan-2008,433,756,0.57
