Date,BUY,SELL,FII Activity
2022-01-03,4433.54,3771.56,661.98
2022-01-04,4160.11,3456.81,703.2999999999997
2022-01-05,4997.5,4521.82,475.6800000000003
2022-01-06,5220.09,8233.17,-3013.08
2022-01-07,5345.52,4767.02,578.5
2022-01-10,3461.83,4000.44,-538.6100000000001
2022-01-11,4184.17,4530.77,-346.60000000000036
2022-01-12,2912.86,3055.11,-142.25
2022-01-13,4412.77,2940.19,1472.5800000000004
2022-01-14,2642.36,3267.97,-625.6099999999997
2022-01-17,2025.28,2852.96,-827.6800000000001
2022-01-18,4211.62,4416.94,-205.3199999999997
2022-01-19,3570.88,4832.5,-1261.62
2022-01-20,4444.98,6547.81,-2102.830000000001
2022-01-21,5836.15,6452.45,-616.3000000000002
2022-01-24,7638.85,9211.37,-1572.5200000000004
2022-01-25,8620.84,8776.45,-155.61000000000058
2022-01-27,9028.03,12036.95,-3008.92
2022-01-28,4986.66,6714.9,-1728.2399999999998
2022-01-31,5901.08,4605.61,1295.4700000000003
2022-02-01,9609.84,10024.54,-414.7000000000007
2022-02-02,5910.24,4212.85,1697.3899999999994
2022-02-03,3990.0,5175.0,-1185.0
2022-02-04,5620.05,3791.24,1828.8100000000004
2022-02-07,4461.91,5529.39,-1067.4800000000005
2022-02-08,6274.02,5847.14,426.8800000000001
2022-02-09,4497.67,3040.24,1457.4300000000003
2022-02-10,6684.14,4408.04,2276.1000000000004
2022-02-11,4327.46,5380.24,-1052.7799999999997
2022-02-14,5770.34,6023.11,-252.76999999999953
2022-02-15,7787.18,6038.29,1748.8900000000003
2022-02-16,7202.93,6648.09,554.8400000000001
2022-02-17,6274.9,5384.51,890.3899999999994
2022-02-18,3592.16,2863.0,729.1599999999999
2022-02-21,5044.32,5261.05,-216.73000000000047
2022-02-22,9018.59,10386.28,-1367.6900000000005
2022-02-23,5969.84,5890.36,79.48000000000047
2022-02-24,11340.06,14791.95,-3451.8900000000012
2022-02-25,9525.31,5970.32,3554.99
2022-02-28,5258.7,5991.58,-732.8800000000001
2022-03-02,5288.24,8532.85,-3244.6100000000006
2022-03-03,4406.78,5118.56,-711.7800000000007
2022-03-04,6020.25,6570.68,-550.4300000000003
2022-03-07,8060.09,9822.24,-1762.1499999999996
2022-03-08,6713.28,7721.62,-1008.3400000000001
2022-03-09,6857.3,6179.45,677.8500000000004
2022-03-10,9155.5,7585.23,1570.2700000000004
2022-03-11,4013.74,3585.92,427.8199999999997
2022-03-14,4642.49,4073.55,568.9399999999996
2022-03-15,5052.28,6281.32,-1229.04
2022-03-16,5151.16,3328.32,1822.8399999999997
2022-03-17,8792.64,4488.93,4303.709999999999
2022-03-21,3297.39,3848.76,-551.3700000000003
2022-03-22,6122.37,5221.28,901.0900000000001
2022-03-23,4614.52,5760.93,-1146.4099999999999
2022-03-24,5015.89,5874.76,-858.8699999999999
2022-03-25,3421.77,3646.57,-224.80000000000018
2022-03-28,6419.96,5066.56,1353.3999999999996
2022-03-29,6933.62,6253.57,680.0500000000002
2022-03-30,9461.11,8378.58,1082.5300000000007
2022-03-31,8690.08,7576.24,1113.8400000000001
2022-04-01,3964.34,4242.67,-278.3299999999999
2022-04-04,6941.2,5499.69,1441.5100000000002
2022-04-05,4091.37,4449.36,-357.9899999999998
2022-04-06,4278.92,4405.19,-126.26999999999953
2022-04-07,3923.75,5922.94,-1999.1899999999996
2022-04-08,5015.31,4851.85,163.46000000000004
2022-04-11,2949.02,5115.08,-2166.06
2022-04-12,3439.19,4967.23,-1528.0399999999995
2022-04-13,3166.69,5171.72,-2005.0300000000002
2022-04-18,3666.24,4068.89,-402.6500000000001
2022-04-19,5305.98,3918.57,1387.4099999999994
2022-04-20,3672.79,3550.39,122.40000000000009
2022-04-21,3880.47,3820.61,59.85999999999967
2022-04-22,3647.01,4588.28,-941.2699999999995
2022-04-25,7137.21,8395.04,-1257.8300000000008
2022-04-26,6308.86,6077.06,231.79999999999927
2022-04-27,6507.39,9894.29,-3386.9000000000005
