Sr. No,Date,Day,Description
1,26-Jan-2022,Wednesday,Republic Day
2,01-Mar-2022,Tuesday,Mahashivratri
3,18-Mar-2022,Friday,Holi
4,14-Apr-2022,Thursday,Dr.Baba Saheb Ambedkar Jayanti/Mahavir Jayanti
5,15-Apr-2022,Friday,Good Friday
6,03-May-2022,Tuesday,Id-Ul-Fitr (Ramzan ID)
7,09-Aug-2022,Tuesday,Moharram
8,15-Aug-2022,Monday,Independence Day
9,31-Aug-2022,Wednesday,Ganesh Chaturthi
10,05-Oct-2022,Wednesday,Dussehra
11,24-Oct-2022,Monday,Diwali * Laxmi Pujan
12,26-Oct-2022,Wednesday,Diwali-Balipratipada
13,08-Nov-2022,Tuesday,Gurunanak Jayanti
