Date,Open,High,Low,Close,Previous,Change,%Change
,,,,,,,
2022-01-03,16.2225,16.81,15.4525,16.4525,16.2225,0.23,0.014199999999999999
2022-01-04,16.4525,16.675,15.71,16.12,16.4525,-0.33,-0.0202
2022-01-05,16.12,17.38,15.0875,17.2275,16.12,1.11,0.0687
2022-01-06,17.2275,18.4175,16.4,17.9775,17.2275,0.75,0.0435
2022-01-07,17.9775,18.09,16.86,17.6025,17.9775,-0.38,-0.0209
2022-01-10,17.6025,18.39,15.8425,17.6775,17.6025,0.08,0.0043
2022-01-11,17.6775,18.2475,16.4375,17.7575,17.6775,0.08,0.0045000000000000005
2022-01-12,17.7575,17.925,16.5475,17.1825,17.7575,-0.58,-0.032400000000000005
2022-01-13,17.1825,17.525,16.6075,16.705,17.1825,-0.48,-0.0278
2022-01-14,16.705,17.1,15.3425,16.555,16.705,-0.15,-0.009000000000000001
2022-01-17,16.555,17.5475,16.2675,16.765,16.555,0.21,0.012700000000000001
2022-01-18,16.765,17.875,16.765,17.78,16.765,1.02,0.0605
2022-01-19,17.78,18.4475,15.94,17.8175,17.78,0.04,0.0021
2022-01-20,17.8175,18.45,17.32,17.79,17.8175,-0.03,-0.0015
2022-01-21,17.79,19.605,16.9825,18.8875,17.79,1.1,0.0617
2022-01-24,18.8875,23.9,18.8875,22.825,18.8875,3.94,0.20850000000000002
2022-01-25,22.825,24.1375,21.18,21.3575,22.825,-1.47,-0.0643
2022-01-27,21.3575,23.8675,20.4425,21.065,21.3575,-0.29,-0.013700000000000002
2022-01-28,21.065,21.32,20.2825,20.695,21.065,-0.37,-0.0176
2022-01-31,20.695,22.11,20.695,21.9525,20.695,1.26,0.0608
2022-02-01,21.9525,22.07,19.745,19.9775,21.9525,-1.98,-0.09
2022-02-02,19.9775,19.9775,18.5475,18.65,19.9775,-1.33,-0.0664
2022-02-03,18.65,19.595,17.4075,19.16,18.65,0.51,0.0273
2022-02-04,19.16,19.7775,18.595,18.8975,19.16,-0.26,-0.013700000000000002
2022-02-07,18.8975,21.0825,18.1825,20.4375,18.8975,1.54,0.0815
2022-02-08,20.4375,20.9375,19.555,19.685,20.4375,-0.75,-0.0368
2022-02-09,19.685,19.685,17.885,18.555,19.685,-1.13,-0.05740000000000001
2022-02-10,18.555,18.925,16.8,17.71,18.555,-0.85,-0.0455
2022-02-11,17.71,19.5325,16.855,18.68,17.71,0.97,0.05480000000000001
2022-02-14,18.68,23.535,18.68,22.9775,18.68,4.3,0.23010000000000003
2022-02-15,22.9775,23.14,20.435,20.6125,22.9775,-2.37,-0.10289999999999999
2022-02-16,20.6125,21.02,19.3525,20.5925,20.6125,-0.02,-0.001
2022-02-17,20.5925,22.37,19.4625,22.005,20.5925,1.41,0.06860000000000001
2022-02-18,22.005,23.21,21.635,22.165,22.005,0.16,0.0073
2022-02-21,22.165,23.755,20.57,22.9025,22.165,0.74,0.0333
2022-02-22,22.9025,27.815,22.9025,26.6625,22.9025,3.76,0.1642
2022-02-23,26.6625,26.6625,23.9075,24.5425,26.6625,-2.12,-0.0795
2022-02-24,24.5425,33.9725,24.5425,31.9825,24.5425,7.44,0.3031
2022-02-25,31.9825,31.9825,26.15,26.74,31.9825,-5.24,-0.16390000000000002
2022-02-28,26.74,29.785,26.74,28.57,26.74,1.83,0.0684
2022-03-02,28.57,30.8425,28.57,29.2325,28.57,0.66,0.0232
