,Unnamed: 0,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
0,,Nifty 50,     18113.05,     18129.20,     18129.20,     17884.90,     17938.40,-174.65
1,,NIFTY50 EQL Wgt,     20123.30,     20133.55,     20159.90,     19909.75,     20009.60,-113.7
2,,NIFTY100 EQL Wgt,     21104.35,     21118.70,     21146.45,     20929.65,     21052.50,-51.85
3,,NIFTY100 LowVol30,     13405.50,     13405.70,     13408.30,     13265.90,     13283.95,-121.55
4,,NIFTY Alpha 50,     35416.25,     35333.70,     35523.70,     34784.30,     35470.05,53.8
5,,NIFTY MIDCAP 150,     11848.70,     11836.80,     11847.05,     11692.05,     11830.60,-18.1
6,,NIFTY SMLCAP 50,      5438.90,      5430.60,      5457.75,      5363.05,      5452.80,13.9
7,,NIFTY SMLCAP 250,     10257.80,     10240.05,     10290.75,     10142.85,     10281.15,23.35
8,,NIFTY MIDSML 400,     11273.15,     11259.20,     11282.90,     11131.80,     11269.75,-3.4
9,,NIFTY200 QUALTY30,     15099.25,     15084.20,     15087.00,     14906.20,     14930.40,-168.85
10,,Nifty FinSrv25 50,     18269.25,     18281.50,     18281.50,     17966.20,     18068.55,-200.7
11,,NIFTY AlphaLowVol,     17685.40,     17688.10,     17690.05,     17469.10,     17489.10,-196.3
12,,Nifty200Momentm30,     21009.70,     20951.85,     20974.25,     20690.60,     20891.85,-117.85
13,,Nifty100ESGSecLdr,      3068.45,      3076.10,      3076.10,      3028.90,      3036.10,-32.35
14,,NIFTY100 ESG,      3687.00,      3692.45,      3692.45,      3642.00,      3654.20,-32.8
15,,NIFTY M150 QLTY50,     18000.50,     17992.45,     17996.80,     17755.15,     17937.75,-62.75
16,,NIFTY INDIA MFG,      8177.20,      8183.05,      8207.70,      8111.75,      8192.00,14.8
17,,Nifty IT,     38091.75,     38011.90,     38011.90,     37236.15,     37281.70,-810.05
18,,Nifty Next 50,     42958.55,     43008.45,     43036.90,     42564.35,     42928.20,-30.35
19,,Nifty Bank,     38210.30,     38145.75,     38330.50,     37769.25,     38041.35,-168.95
20,,NIFTY MIDCAP 100,     31381.45,     31348.80,     31392.45,     30968.70,     31363.30,-18.15
21,,Nifty 500,     15573.10,     15580.40,     15580.40,     15403.20,     15472.50,-100.6
22,,Nifty 100,     18331.70,     18349.55,     18349.55,     18114.85,     18179.70,-152.0
23,,Nifty Midcap 50,      8697.90,      8681.95,      8690.85,      8570.75,      8679.50,-18.4
24,,Nifty Realty,       502.65,       501.60,       503.15,       492.65,       501.90,-0.75
25,,Nifty Infra,      5209.65,      5211.65,      5218.90,      5159.55,      5192.70,-16.95
26,,Nifty Energy,     25054.95,     25136.20,     25330.10,     24997.60,     25293.95,239.0
27,,Nifty FMCG,     37503.15,     37491.70,     37508.90,     37036.65,     37106.40,-396.75
28,,Nifty MNC,     19251.25,     19235.05,     19237.80,     19058.20,     19130.40,-120.85
29,,Nifty Pharma,     13697.60,     13701.05,     13726.25,     13536.20,     13682.70,-14.9
30,,Nifty PSE,      4089.70,      4090.90,      4138.65,      4074.05,      4126.75,37.05
31,,Nifty PSU Bank,      2741.20,      2734.75,      2811.50,      2720.15,      2801.65,60.45
32,,Nifty Serv Sector,     25513.40,     25534.00,     25534.00,     25101.30,     25171.00,-342.4
33,,India VIX,17.7800,17.7800,18.4475,15.9400,17.8175,0.0375
34,,Nifty Auto,     11598.75,     11628.65,     11704.75,     11492.45,     11681.40,82.65
35,,Nifty Metal,      5755.15,      5751.80,      5830.75,      5704.90,      5801.10,45.95
36,,Nifty Media,      2301.40,      2308.40,      2332.50,      2285.55,      2324.60,23.2
37,,NIFTY SMLCAP 100,     11687.45,     11666.55,     11710.65,     11526.80,     11688.95,1.5
38,,Nifty 200,      9579.50,      9586.25,      9586.25,      9470.05,      9509.85,-69.65
39,,Nifty Div Opps 50,      3832.15,      3833.25,      3833.25,      3795.30,      3810.35,-21.8
40,,Nifty Commodities,      5979.85,      5984.05,      6024.85,      5933.65,      5992.10,12.25
41,,Nifty Consumption,      7139.35,      7149.05,      7149.05,      7062.10,      7074.30,-65.05
42,,Nifty Fin Service,     18468.70,     18488.05,     18488.05,     18170.45,     18269.95,-198.75
43,,Nifty50 Div Point,       154.60,       156.26,       156.26,       156.26,       156.26,1.66
44,,Nifty100 Liq 15,      4581.65,      4596.50,      4612.75,      4528.45,      4572.00,-9.65
45,,Nifty CPSE,      2421.55,      2427.20,      2453.30,      2416.40,      2448.85,27.3
46,,Nifty GrowSect 15,      7721.65,      7736.45,      7737.20,      7650.90,      7680.00,-41.65
47,,Nifty50 PR 2x Lev,      9592.75,      9608.85,      9608.85,      9350.55,      9406.75,-186.0
48,,Nifty50 PR 1x Inv,       245.05,       244.85,       248.15,       244.85,       247.45,2.4
